,hh_id,name,link,salary
470,46266125,Системный аналитик IoT,https://chelyabinsk.hh.ru/vacancy/46266125?from=vacancy_search_list&query=data%20analyst,
471,46422523,Специалист по тестированию 1C,https://chelyabinsk.hh.ru/vacancy/46422523?from=vacancy_search_list&query=data%20analyst,
472,46760716,Senior Product Manager / Lead (USA),https://chelyabinsk.hh.ru/vacancy/46760716?from=vacancy_search_list&query=data%20analyst,
473,47080313,"Автор-преподаватель курса ""Data-driven подход в e-commerce""",https://chelyabinsk.hh.ru/vacancy/47080313?from=vacancy_search_list&query=data%20analyst,
474,44672923,Аналитик по продажам,https://chelyabinsk.hh.ru/vacancy/44672923?from=vacancy_search_list&query=data%20analyst,
475,46747706,PPC Специалист по контекстной рекламе,https://chelyabinsk.hh.ru/vacancy/46747706?from=vacancy_search_list&query=data%20analyst,от 70 000 руб.
476,47180846,Regional marketing team lead,https://chelyabinsk.hh.ru/vacancy/47180846?from=vacancy_search_list&query=data%20analyst,
477,46637797,Тестировщик (Senior),https://chelyabinsk.hh.ru/vacancy/46637797?from=vacancy_search_list&query=data%20analyst,
478,46638978,Тестировщик (Senior),https://chelyabinsk.hh.ru/vacancy/46638978?from=vacancy_search_list&query=data%20analyst,
479,46437380,Продакт-менеджер сайта (e-commerce),https://chelyabinsk.hh.ru/vacancy/46437380?from=vacancy_search_list&query=data%20analyst,
480,46402168,Тестировщик (Middle),https://chelyabinsk.hh.ru/vacancy/46402168?from=vacancy_search_list&query=data%20analyst,
481,46469986,Тестировщик (Middle),https://chelyabinsk.hh.ru/vacancy/46469986?from=vacancy_search_list&query=data%20analyst,
482,46637788,Тестировщик (Middle),https://chelyabinsk.hh.ru/vacancy/46637788?from=vacancy_search_list&query=data%20analyst,
483,46638961,Тестировщик (Middle),https://chelyabinsk.hh.ru/vacancy/46638961?from=vacancy_search_list&query=data%20analyst,
484,46536806,Senior PPC Ведущий специалист по контекстной рекламе,https://chelyabinsk.hh.ru/vacancy/46536806?from=vacancy_search_list&query=data%20analyst,от 90 000 руб.
485,47107718,IBD 2nd year Associate,https://chelyabinsk.hh.ru/vacancy/47107718?from=vacancy_search_list&query=data%20analyst,
486,46886052,Consultant SAP Marketing,https://chelyabinsk.hh.ru/vacancy/46886052?from=vacancy_search_list&query=data%20analyst,
487,44688339,Архитектор цифровых моделей,https://chelyabinsk.hh.ru/vacancy/44688339?from=vacancy_search_list&query=data%20analyst,
488,47179839,QA Engineer (Цифровая Ипотека),https://chelyabinsk.hh.ru/vacancy/47179839?from=vacancy_search_list&query=data%20analyst,
489,44561852,Консультант-аналитик (1С MES),https://chelyabinsk.hh.ru/vacancy/44561852?from=vacancy_search_list&query=data%20analyst,
490,43571440,Java-разработчик,https://chelyabinsk.hh.ru/vacancy/43571440?from=vacancy_search_list&query=data%20analyst,
491,46265225,"Специалист по поддержке продаж (работа с базами данных, документами, без звонков)",https://chelyabinsk.hh.ru/vacancy/46265225?from=vacancy_search_list&query=data%20analyst,от 26 000 руб.
492,44601073,Middle Java developer (Healthcare),https://chelyabinsk.hh.ru/vacancy/44601073?from=vacancy_search_list&query=data%20analyst,
493,45746863,Product Manager (Voice of Customer),https://chelyabinsk.hh.ru/vacancy/45746863?from=vacancy_search_list&query=data%20analyst,
494,46344316,Менеджер IT-проектов / Project manager,https://chelyabinsk.hh.ru/vacancy/46344316?from=vacancy_search_list&query=data%20analyst,45 000 – 65 000 руб.
495,47074974,Начальник управления систем аналитики и отчетности,https://chelyabinsk.hh.ru/vacancy/47074974?from=vacancy_search_list&query=data%20analyst,
496,46793177,Таргетолог,https://chelyabinsk.hh.ru/vacancy/46793177?from=vacancy_search_list&query=data%20analyst,60 000 – 120 000 руб.
497,47089912,Finance Controller (Retail stream),https://chelyabinsk.hh.ru/vacancy/47089912?from=vacancy_search_list&query=data%20analyst,180 000 – 180 000 руб.
498,46917845,Интернет-маркетолог / специалист по контекстной рекламе (удаленка на полный рабочий день или в офис),https://chelyabinsk.hh.ru/vacancy/46917845?from=vacancy_search_list&query=data%20analyst,60 000 – 80 000 руб.
499,41051710,Account manager (Performance),https://chelyabinsk.hh.ru/vacancy/41051710?from=vacancy_search_list&query=data%20analyst,
500,44601072,Middle Java developer (Healthcare),https://chelyabinsk.hh.ru/vacancy/44601072?from=vacancy_search_list&query=data%20analyst,
501,47146753,Специалист по тестированию,https://chelyabinsk.hh.ru/vacancy/47146753?from=vacancy_search_list&query=data%20analyst,
502,46409029,Продакт-менеджер в мобильное приложение,https://chelyabinsk.hh.ru/vacancy/46409029?from=vacancy_search_list&query=data%20analyst,
503,47014427,Архитектор DWH,https://chelyabinsk.hh.ru/vacancy/47014427?from=vacancy_search_list&query=data%20analyst,
504,41512924,Programmatic manager,https://chelyabinsk.hh.ru/vacancy/41512924?from=vacancy_search_list&query=data%20analyst,
505,46573278,Инженер MDM-системы,https://chelyabinsk.hh.ru/vacancy/46573278?from=vacancy_search_list&query=data%20analyst,
506,46740449,Руководитель отдела веб аналитики,https://chelyabinsk.hh.ru/vacancy/46740449?from=vacancy_search_list&query=data%20analyst,
507,45527706,Интернет-маркетолог (удаленно или в московский офис),https://chelyabinsk.hh.ru/vacancy/45527706?from=vacancy_search_list&query=data%20analyst,80 000 – 120 000 руб.
508,46298710,Junior business analyst (BackOffice analytics),https://chelyabinsk.hh.ru/vacancy/46298710?from=vacancy_search_list&query=data%20analyst,
509,43983012,Middle/Senior/Expert Java Developer (Pricing Team),https://chelyabinsk.hh.ru/vacancy/43983012?from=vacancy_search_list&query=data%20analyst,180 000 – 345 000 руб.
510,43150200,Senior programmatic manager,https://chelyabinsk.hh.ru/vacancy/43150200?from=vacancy_search_list&query=data%20analyst,
511,47149763,Руководитель аналитики,https://chelyabinsk.hh.ru/vacancy/47149763?from=vacancy_search_list&query=data%20analyst,
512,46420057,Product Manager,https://chelyabinsk.hh.ru/vacancy/46420057?from=vacancy_search_list&query=data%20analyst,
513,46616530,Automation QA,https://chelyabinsk.hh.ru/vacancy/46616530?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
514,46166576,Java Developer,https://chelyabinsk.hh.ru/vacancy/46166576?from=vacancy_search_list&query=data%20analyst,
515,47092237,QA - engineer / WEB-developer,https://chelyabinsk.hh.ru/vacancy/47092237?from=vacancy_search_list&query=data%20analyst,от 100 000 руб.
516,46400849,Senior Product Manager (Core Platform),https://chelyabinsk.hh.ru/vacancy/46400849?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
517,46460426,PPC-менеджер,https://chelyabinsk.hh.ru/vacancy/46460426?from=vacancy_search_list&query=data%20analyst,от 75 000 руб.
518,46422260,Growth Product Manager,https://chelyabinsk.hh.ru/vacancy/46422260?from=vacancy_search_list&query=data%20analyst,
519,46409027,Интернет-маркетолог в онлайн-школу,https://chelyabinsk.hh.ru/vacancy/46409027?from=vacancy_search_list&query=data%20analyst,от 70 000 руб.
520,46949485,Менеджер по персоналу/ IT Рекрутер,https://chelyabinsk.hh.ru/vacancy/46949485?from=vacancy_search_list&query=data%20analyst,100 000 – 150 000 руб.
521,46416139,Руководитель направления внутренних обучений по Qlik Sense,https://chelyabinsk.hh.ru/vacancy/46416139?from=vacancy_search_list&query=data%20analyst,
522,45527707,Интернет-маркетолог (удаленно или в московский офис),https://chelyabinsk.hh.ru/vacancy/45527707?from=vacancy_search_list&query=data%20analyst,80 000 – 120 000 руб.
523,46654482,Support engineer junior,https://chelyabinsk.hh.ru/vacancy/46654482?from=vacancy_search_list&query=data%20analyst,50 000 – 100 000 руб.
524,47015132,"Менеджер по продукту / Product Manager (B2B, Enterprise)",https://chelyabinsk.hh.ru/vacancy/47015132?from=vacancy_search_list&query=data%20analyst,
525,46933621,Продакт-менеджер,https://chelyabinsk.hh.ru/vacancy/46933621?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
526,46702171,Специалист по таргетированной рекламе / Таргетолог,https://chelyabinsk.hh.ru/vacancy/46702171?from=vacancy_search_list&query=data%20analyst,60 000 – 100 000 руб.
527,46430063,Go Developer (Azure Team),https://chelyabinsk.hh.ru/vacancy/46430063?from=vacancy_search_list&query=data%20analyst,от 220 000 руб.
528,47090990,Интернет-маркетолог (удаленно или в московский офис),https://chelyabinsk.hh.ru/vacancy/47090990?from=vacancy_search_list&query=data%20analyst,80 000 – 120 000 руб.
529,46166573,Java Developer,https://chelyabinsk.hh.ru/vacancy/46166573?from=vacancy_search_list&query=data%20analyst,
530,47050883,Специалист по контекстной рекламе,https://chelyabinsk.hh.ru/vacancy/47050883?from=vacancy_search_list&query=data%20analyst,
531,47088045,DevOps Engineer (AWS),https://chelyabinsk.hh.ru/vacancy/47088045?from=vacancy_search_list&query=data%20analyst,
532,46796487,Специалист по платной рекламе в интернете,https://chelyabinsk.hh.ru/vacancy/46796487?from=vacancy_search_list&query=data%20analyst,100 000 – 120 000 руб.
533,46717609,Руководитель разработки (Отдел архитектуры корп. данных),https://chelyabinsk.hh.ru/vacancy/46717609?from=vacancy_search_list&query=data%20analyst,
534,46575527,IT Рекрутер/Менеджер по персоналу,https://chelyabinsk.hh.ru/vacancy/46575527?from=vacancy_search_list&query=data%20analyst,100 000 – 150 000 руб.
