,sj_id,name,link,salary
40,38310669,Бизнес/системный аналитик,https://www.superjob.ru/vakansii/biznes-38310669.html,По договорённости
41,38428619,Аналитик,https://www.superjob.ru/vakansii/analitik-38428619.html,до 25 000 руб./месяц
42,38654178,Специалист в отдел планирования и аналитики конструкторского бюро,https://www.superjob.ru/vakansii/specialist-v-otdel-planirovaniya-i-analitiki-konstruktorskogo-byuro-38654178.html,По договорённости
43,38653684,Системный аналитик DWH,https://www.superjob.ru/vakansii/sistemnyj-analitik-dwh-38653684.html,По договорённости
44,37361201,Аналитик по безопасности,https://www.superjob.ru/vakansii/analitik-po-bezopasnosti-37361201.html,30 700 — 36 500 руб./месяц
45,38606971,Консультант-аналитик 1С,https://www.superjob.ru/vakansii/konsultant-analitik-1s-38606971.html,По договорённости
46,38428269,Товарный аналитик (удаленно),https://www.superjob.ru/vakansii/tovarnyj-analitik-38428269.html,до 50 000 руб./месяц
47,38347208,Кредитный аналитик (без продаж),https://www.superjob.ru/vakansii/kreditnyj-analitik-38347208.html,от 34 000 руб./месяц
48,37211756,Web-аналитик,https://www.superjob.ru/vakansii/web-analitik-37211756.html,По договорённости
49,38324010,Аналитик,https://www.superjob.ru/vakansii/analitik-38324010.html,По договорённости
50,38571052,Аналитик-психометрик,https://www.superjob.ru/vakansii/analitik-psihometrik-38571052.html,По договорённости
51,38247699,Бизнес-аналитик,https://www.superjob.ru/vakansii/biznes-analitik-38247699.html,от 45 000 руб./месяц
52,38050148,Экономист-аналитик (продуктовая себестоимость),https://www.superjob.ru/vakansii/ekonomist-analitik-38050148.html,от 50 000 руб./месяц
53,35921262,Аналитик МИС,https://www.superjob.ru/vakansii/analitik-mis-35921262.html,от 50 000 руб./месяц
54,38427068,Аналитик-разработчик,https://www.superjob.ru/vakansii/analitik-razrabotchik-38427068.html,По договорённости
55,38203166,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38203166.html,от 140 000 руб./месяц
56,37378147,Экономист-аналитик транспортного отдела,https://www.superjob.ru/vakansii/ekonomist-analitik-transportnogo-otdela-37378147.html,По договорённости
57,38650159,Аналитик системный,https://www.superjob.ru/vakansii/analitik-sistemnyj-38650159.html,от 100 000 руб./месяц
58,38492654,Системный аналитик CRM,https://www.superjob.ru/vakansii/sistemnyj-analitik-crm-38492654.html,до 150 000 руб./месяц
